Blastocystis hominis
Blastomyces dermatitidis
Blastomyces gilchristii
Blastomyces helicus
Brugia malayi
Brugia pahangi
Brugia timori
Candida albicans
Candida dubliniensis
Candida parapsilosis
Candida tropicalis
Capillaria hepatica
Chrysomya bezziana
Cladophialophora bantiana
Cladophialophora boppii
Cladophialophora carrionii
Clavispora lusitaniae
Clinostomum complanatum
Clonorchis sinensis
Coccidioides immitis
Coccidioides posadasii
Cochliomyia hominivorax
Colletotrichum coccodes
Colletotrichum gloeosporioides
Conidiobolus coronatus
Conidiobolus incongruus
Contracaecum osculatum
Cryptococcus gattii VGI
Cryptococcus neoformans
Cryptosporidium hominis
Cryptosporidium parvum
Curvularia australiensis
Curvularia hawaiiensis
Curvularia lunata
Curvularia papendorfii
Curvularia spicifera
Cyclospora cayetanensis
Cystoisospora belli


Dermanyssus gallinae
Dermatobia hominis
Dicrocoelium dendriticum
Dientamoeba fragilis
Dioctophyme renale
Diphyllobothrium latum
Dirofilaria immitis
Dirofilaria repens
Dracunculus medinensis
Echinococcus granulosus
Echinococcus multilocularis
Echinococcus oligarthrus
Echinococcus vogeli
Echinolaelaps echidninus

Emmonsia crescens
Encephalitozoon cuniculi
Encephalitozoon hellem
Encephalitozoon intestinalis
Entamoeba histolytica
Enterobius vermicularis
Enterocytozoon bieneusi
Epidermophyton floccosum
Exophiala dermatitidis


Fasciola gigantica
Fasciola hepatica
Fasciolopsis buski
Fonsecaea compacta
Fonsecaea pedrosoi

Fusarium fujikuroi
Fusarium oxysporum
Fusarium solani
Giardia intestinalis
Gnathostoma hispidum
Gnathostoma spinigerum
Halicephalobus gingivalis
Heterophyes heterophyes
Histoplasma capsulatum
Hymenolepis diminuta
Leishmania aethiopica
Leishmania amazonensis
Leishmania braziliensis
Leishmania chagasi
Leishmania colombiensis
Leishmania donovani
Leishmania guyanensis
Leishmania infantum
Leishmania major
Leishmania martiniquensis
Leishmania mexicana
Leishmania naiffi
Leishmania panamensis
Leishmania peruviana
Leishmania tropica
Lichtheimia corymbifera
Lichtheimia ramosa
Linguatula serrata
Loa loa
Lomentospora prolificans
Madurella mycetomatis
Mansonella ozzardi
Mansonella perstans
Mansonella streptocerca
Metagonimus yokogawai
Moniliformis moniliformis
Mucor circinelloides
Naegleria fowleri
Necator americanus
Neobalantidium coli
Onchocerca volvulus
Opisthorchis felineus
Opisthorchis sinensis
Opisthorchis viverrini
Ornithonyssus bacoti
Ornithonyssus bursa
Ornithonyssus sylviarum
Paracapillaria philippinensis
Paracoccidioides brasiliensis
Paragonimus africanus
Paragonimus heterotremus
Paragonimus kellicotti
Paragonimus mexicanus
Paragonimus siamensis
Paragonimus skrjabini
Paragonimus westermani
Pediculus humanus
Phialophora verrucosa
Pichia kudriavzevii
Plasmodium falciparum
